vendor,total,months_active,monthly_totals,suggested_account,confidence,reason
"CNX America Corp.","$355,495.18",5,"2025-02: $5,881.29; 2025-11: $1,580.00; 2025-12: $1,430.00; 2026-01: $209,690.17; 2026-02: $136,913.72","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — lumpy 6-figure bills Jan/Feb-2026 — logistics-or-goods, verify"
"Venbrook Group LLC","$242,620.15",22,"2024-09: $11,675.40; 2024-10: $11,675.40; 2024-11: $11,675.40; 2024-12: $11,675.40; 2025-01: $3,992.09; 2025-02: $3,992.09; 2025-03: $11,985.84; 2025-04: $11,985.84; 2025-05: $11,985.84; 2025-06: $11,985.84; 2025-07: $11,985.84; 2025-08: $11,985.84; 2025-09: $12,035.84; 2025-10: $11,985.84; 2025-11: $11,985.84; 2025-12: $11,985.84; 2026-01: $4,312.52; 2026-02: $12,694.09; 2026-03: $12,644.09; 2026-04: $12,841.09; 2026-05: $12,792.09; 2026-06: $12,742.09","",FLAG,"insurance broker — cannot split policy lines (GL/WC/property) from bill data; CEO/broker statement needed"
"Interland Clothing","$222,990.76",2,"2024-09: $220,190.76; 2025-02: $2,800.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — garment vendor — 2 large bills"
"NEXT ELEVATION","$102,627.30",2,"2024-08: $79,083.30; 2026-04: $23,544.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — unknown — 3 lumpy bills over 20 months, goods-supplier pattern"
"Bitton & Associates","$80,000.00",8,"2024-10: $10,000.00; 2024-11: $10,000.00; 2025-01: $10,000.00; 2025-02: $10,000.00; 2025-03: $10,000.00; 2025-04: $10,000.00; 2025-05: $10,000.00; 2025-06: $10,000.00","",FLAG,"related-party name (Bitton) — may be distributions, not P&L"
"United Aryan (EPZ) Limited","$80,000.00",1,"2025-12: $80,000.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — garment manufacturer (Kenya), single $80k bill"
"Isaac Bitton","$59,671.79",19,"2024-12: $2,338.53; 2025-02: $3,333.33; 2025-03: $3,333.33; 2025-04: $3,333.33; 2025-05: $3,333.33; 2025-06: $3,333.33; 2025-07: $3,333.33; 2025-08: $3,333.33; 2025-09: $3,333.33; 2025-10: $3,333.33; 2025-11: $3,333.33; 2025-12: $3,333.33; 2026-01: $3,333.33; 2026-02: $3,333.33; 2026-03: $3,333.33; 2026-04: $2,666.66; 2026-05: $2,666.66; 2026-06: $2,666.66; 2026-07: $2,666.66","",FLAG,"related party — guaranteed payments / distributions? CEO classify"
"U.S. Small Business Administration","$51,177.00",19,"2024-09: $2,437.00; 2024-10: $2,437.00; 2024-11: $2,437.00; 2024-12: $4,874.00; 2025-01: $2,437.00; 2025-02: $2,437.00; 2025-03: $2,437.00; 2025-04: $2,437.00; 2025-05: $2,437.00; 2025-06: $2,437.00; 2025-08: $2,437.00; 2025-09: $2,437.00; 2025-10: $4,874.00; 2025-11: $2,437.00; 2026-01: $2,437.00; 2026-02: $2,437.00; 2026-03: $2,437.00; 2026-04: $2,437.00; 2026-05: $2,437.00","",FLAG,"SBA loan payments — principal is a liability, interest → 6342; controller split"
"2253 Apparel, Inc.","$42,715.50",4,"2025-01: $7,200.00; 2025-03: $13,914.00; 2025-04: $9,216.00; 2025-11: $12,385.50","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — apparel vendor"
"Dynamic Full Ltd.","$40,000.00",1,"2025-11: $40,000.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — HK garment vendor, single $40k bill"
"State of California Franchise Tax Board","$31,594.66",4,"2024-11: $768.46; 2025-12: $13,900.00; 2026-03: $14,078.00; 2026-06: $2,848.20","",FLAG,"income/franchise tax — expense vs equity treatment is a CPA call"
"The Luxury Collection","$25,000.00",1,"2026-02: $25,000.00","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — ambiguous (apparel supplier vs Marriott hotel brand), single $25k bill"
"Anhui Taihe Jiarun Garment Co Ltd","$14,012.64",1,"2024-08: $14,012.64","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — garment manufacturer"
"Franchise Tax Board","$8,486.00",1,"2024-10: $8,486.00","",FLAG,"income/franchise tax — expense vs equity treatment is a CPA call"
"Tao Rodriguez / Maria Villarreal (MOM's bank info for pymt)","$7,047.90",4,"2024-08: $1,186.42; 2024-11: $2,507.27; 2024-12: $1,095.79; 2025-11: $2,258.42","",FLAG,"related-party payment routing — CEO classify"
"Valley Bank","$4,628.67",4,"2024-09: $1,213.90; 2024-10: $929.37; 2025-02: $1,304.64; 2025-04: $1,180.76","",FLAG,"bank — fees vs loan principal unverifiable from bill data"
"Accordia Life and Annuity Company","$4,266.00",6,"2025-01: $711.00; 2025-02: $711.00; 2025-05: $711.00; 2025-08: $711.00; 2025-11: $711.00; 2026-02: $711.00","",FLAG,"life insurance — possibly officer life / non-deductible"
"American General Life Insurance Company","$3,583.86",6,"2024-12: $597.31; 2025-03: $597.31; 2025-06: $597.31; 2025-09: $597.31; 2025-12: $597.31; 2026-03: $597.31","",FLAG,"life insurance — possibly officer life / non-deductible"
"Lanny K.W. Inc.","$3,137.50",2,"2025-12: $1,025.00; 2026-03: $2,112.50","",INVENTORY?,"inventory-suspect, awaiting CEO confirmation — unknown trading-co name"
"Banner Life Insurance Company","$2,974.40",4,"2024-10: $743.60; 2025-01: $743.60; 2025-05: $743.60; 2025-07: $743.60","",FLAG,"life insurance — possibly officer life / non-deductible"
